,Number,Percent with Dislike
   Did not answer,4,2.90%
   Unsure,2,1.50%
   All positive,34,25.00%
   Building/Unit is unsafe,9,6.60%
   Landlord is not responsive,23,16.90%
   Pest Problem (Rodents Bugs),15,11.00%
"   Bad Neighbors (not respectful, welcoming, etc.)",13,9.60%
   Feels unwelcome in building/unit due to race,2,1.50%
"   Feels unwelcome in building/unit, other reason",3,2.20%
"   Building/Unit is not well cared for (maintenance issues, upkeep)",47,34.60%
"   Building/Unit does not have amenities they value (laundry, appliances, parking)",21,15.40%
   Noisy/thin walls,3,2.20%
   poor Floor/layout/space,23,16.90%
   Building/Unit not accessible for disability,4,2.90%
23_other,1,0.70%
   Stray Cats and Dogs that Sit by the Door,1,0.70%
   Can't Smoke in Building,2,1.50%
   Package Theft,3,2.20%
